Date,Open,Close,High,Low,Volume
4-Jan-16,656.289978,636.98999,657.719971,627.51001,9314500
5-Jan-16,646.859985,633.789978,646.909973,627.650024,5822600
6-Jan-16,622,632.650024,639.789978,620.309998,5329200
7-Jan-16,621.799988,607.940002,630,605.210022,7074900
8-Jan-16,619.659973,607.049988,624.140015,606,5512900
11-Jan-16,612.47998,617.73999,619.849976,598.570007,4891600
12-Jan-16,625.25,617.890015,625.98999,612.23999,4724100
13-Jan-16,620.880005,581.809998,620.880005,579.159973,7655200
14-Jan-16,580.25,593,602.25,569.880005,7238000
15-Jan-16,572.23999,570.179993,584.619995,565.299988,7784500
19-Jan-16,577.090027,574.47998,584,566.450012,4807200
20-Jan-16,564.359985,571.77002,578.450012,547.179993,7966400
21-Jan-16,573.580017,575.02002,588.809998,568.219971,4952200
22-Jan-16,588.72998,596.380005,600.099976,584.109985,5120100
25-Jan-16,597.98999,596.530029,608.5,594.559998,4396100
26-Jan-16,603.450012,601.25,604.5,590.380005,3765700
27-Jan-16,601.98999,583.349976,603.390015,578.780029,5152900
28-Jan-16,608.369995,635.349976,638.059998,597.549988,14015200
29-Jan-16,571.97998,587,593,570,14677600
1-Feb-16,578.150024,574.809998,581.799988,570.309998,6355100
2-Feb-16,570,552.099976,571.559998,550.090027,6312000
3-Feb-16,553.5,531.070007,556,521.900024,10048700
4-Feb-16,525,536.26001,538.98999,519.219971,6199100
5-Feb-16,529.280029,502.130005,529.450012,499.190002,9708900
8-Feb-16,486.470001,488.100006,493.5,475.209991,9825500
9-Feb-16,478.01001,482.070007,498.380005,474,7077900
10-Feb-16,491.76001,490.480011,504.660004,486,6786200
11-Feb-16,491.170013,503.820007,509.299988,484,7397400
12-Feb-16,510.700012,507.079987,516.75,501.48999,5384800
16-Feb-16,519.47998,521.099976,524.450012,511.660004,5118500
17-Feb-16,528.73999,534.099976,537.47998,519.390015,4824000
18-Feb-16,541.190002,525,541.200012,523.72998,4735000
19-Feb-16,520.710022,534.900024,535.950012,515.349976,4974700
22-Feb-16,542.200012,559.5,560.650024,541.080017,5566600
23-Feb-16,555.549988,552.940002,556.909973,545.330017,4050800
24-Feb-16,545.75,554.039978,554.27002,533.150024,6231700
25-Feb-16,555.52002,555.150024,559.390015,545.289978,4525500
26-Feb-16,560.119995,555.22998,562.5,553.169983,4877000
29-Feb-16,554,552.52002,564.809998,552.51001,4145400
1-Mar-16,556.289978,579.039978,579.25,556,5038500
2-Mar-16,581.75,580.210022,585,573.700012,4582200
3-Mar-16,577.960022,577.48999,579.869995,573.109985,2741300
4-Mar-16,581.070007,575.140015,581.400024,571.070007,3416500
7-Mar-16,573.539978,562.799988,573.630005,555.549988,4926900
8-Mar-16,557.869995,560.26001,571.349976,554.73999,4730000
9-Mar-16,559.559998,559.469971,560.349976,550.130005,4377300
10-Mar-16,566.73999,558.929993,567,547.900024,3919900
11-Mar-16,566.950012,569.609985,570.059998,562.72998,3771300
14-Mar-16,567,573.369995,576.890015,563.049988,3454200
15-Mar-16,571,577.02002,581.52002,567,3876800
16-Mar-16,576.640015,574.27002,581.320007,571.140015,3537700
17-Mar-16,569.51001,559.440002,571.400024,555.01001,5928100
18-Mar-16,560.940002,552.080017,562.330017,546.090027,7296900
21-Mar-16,548.909973,553.97998,555.23999,538.580017,5155700
22-Mar-16,545.109985,560.47998,562.76001,545.049988,4000600
23-Mar-16,561,569.630005,572.47998,558.099976,3983700
24-Mar-16,567.109985,582.950012,583.549988,567.080017,5185500
28-Mar-16,584.400024,579.869995,584.75,575.559998,3121500
29-Mar-16,580.150024,593.859985,595.849976,576.5,4392600
30-Mar-16,596.710022,598.690002,603.23999,595,3890500
31-Mar-16,599.280029,593.640015,600.75,592.210022,2681800
1-Apr-16,590.48999,598.5,599.030029,588.299988,2917400
4-Apr-16,599,593.190002,599.5,590.549988,2470800
5-Apr-16,590.77002,586.140015,593.469971,585.25,2308900
6-Apr-16,587.52002,602.080017,602.390015,587.5,2849900
7-Apr-16,598.76001,591.429993,599.599976,589.080017,3189000
8-Apr-16,594.320007,594.599976,597.859985,589,2591900
11-Apr-16,596.140015,595.929993,604,594.909973,2704300
12-Apr-16,598.400024,603.169983,604.059998,592.309998,2641100
13-Apr-16,607.679993,614.820007,616.809998,605.289978,4228300
14-Apr-16,615.070007,620.75,624.380005,615.070007,3512100
15-Apr-16,621.919983,625.890015,626.77002,618.109985,2887700
18-Apr-16,625.349976,635.349976,637.640015,624.960022,4360900
19-Apr-16,637.140015,627.900024,638.01001,620.799988,4055900
20-Apr-16,630,632.98999,636.549988,623,2609400
21-Apr-16,631,631,637.820007,628.5,2596300
22-Apr-16,624.469971,620.5,628.25,611.559998,5083900
25-Apr-16,616.609985,626.200012,626.97998,616.25,2682900
26-Apr-16,626.169983,616.880005,626.75,614.880005,2521400
27-Apr-16,611.799988,606.570007,615.950012,601.280029,4068800
28-Apr-16,615.539978,602,626.799988,599.200012,7872600
29-Apr-16,666,659.590027,669.97998,654,10310700
2-May-16,663.919983,683.849976,685.5,662.030029,6578500
3-May-16,677.359985,671.320007,680.299988,670.429993,4923400
4-May-16,662.590027,670.900024,674,662.140015,4635500
5-May-16,673.309998,659.090027,676.48999,656,4884100
6-May-16,656.049988,673.950012,676.950012,656.01001,4365300
